cliente;perfil;valor_total_ticket;idade;renda_sm;recorrencia
30028;;6231;29;6.6;61
30029;;5972;33;5.4;59
30030;;7498;27;6.3;61
30031;;6937;31;7.2;64
30032;;6242;33;5.1;67
30033;;7286;25;4.8;55
30034;;5543;25;3;36
30035;;5785;38;4.8;60
30036;;7352;32;4.8;67
30037;;7401;30;4.8;56
30038;;5412;38;0.6;19
30039;;6530;32;3;40
30040;;6412;25;3.9;50
30041;;6028;34;6.3;56
30042;;7305;26;7.2;58
30043;;6386;25;6.3;59
30044;;7107;34;4.5;52
30045;;7115;33;4.8;63
30046;;5384;37;0.9;11
30047;;5608;30;4.5;63
30048;;6899;34;7.2;60
30049;;6893;33;5.7;48
30050;;7365;29;5.1;69
30051;;6060;22;7.2;54
30052;;6533;23;3.3;43
30053;;5864;22;6;69
30054;;7639;36;7.5;64
30055;;7901;25;6;51
30056;;7423;34;6.3;52
30057;;6219;32;6;48
30058;;7321;33;7.2;59
30059;;6269;38;7.5;59
30060;;6271;22;5.4;41
30061;;7992;29;6;60
30062;;5833;24;5.4;50
30063;;5439;32;3;33
30064;;4975;32;5.4;63
30065;;5951;30;5.1;30
30066;;4961;38;4.2;57
30067;;7241;31;6.3;52
30068;;6722;23;5.1;44
30069;;7687;29;6;67
30070;;6728;24;5.4;33
30071;;6443;32;4.8;69
30072;;7724;32;4.2;51
30073;;5884;38;4.2;58
30074;;5256;41;0.6;16
30075;;6230;28;6.6;52
30076;;5983;28;7.5;58
30077;;5574;31;0.6;14
30078;;6219;33;3.6;50
30079;;4905;27;5.4;53
30080;;5201;27;4.2;45
30081;;5085;25;3;38
30082;;6576;22;3.9;39
30083;;6982;20;3.9;33
30084;;5139;31;3.3;44
30085;;6434;32;6.9;59
30086;;6287;22;5.4;50
30087;;7798;38;6.9;69
30088;;5982;26;5.4;44
30089;;6746;28;4.5;42
30090;;6996;32;6.6;53
30091;;6432;29;5.1;48
30092;;6342;33;3.9;35
30093;;5451;31;4.5;42
30094;;5984;26;4.2;47
30095;;7425;27;6.3;58
30096;;6376;26;7.2;63
30097;;6780;22;5.7;51
30098;;6018;32;5.4;50
30099;;6086;31;5.1;49
30100;;6228;30;4.8;57
30101;;5301;38;1.8;19
30102;;5619;33;3.3;42
30103;;5985;28;6.3;56
30104;;7199;25;7.2;58
30105;;7994;22;6.6;59
30106;;5749;30;4.5;50
30107;;5990;28;5.7;48
30108;;6648;26;3.3;37
30109;;6417;24;4.2;51
30110;;5694;29;4.8;47
30111;;6147;23;4.8;39
30112;;7726;33;6.3;50
30113;;5724;31;6.6;64
30114;;7172;22;6.3;64
30115;;5116;27;3.9;41
30116;;7256;32;4.8;52
30117;;7981;34;6.9;67
30118;;5554;32;4.5;46
30119;;4834;35;1.5;15
30120;;5187;20;4.8;48
30121;;5098;23;4.8;50
30122;;7151;34;7.5;69
30123;;6877;22;6.9;66
30124;;5120;44;0.6;16
30125;;6395;24;4.5;39
30126;;5218;24;3;39
30127;;6518;29;4.2;47
30128;;4934;20;3;36
30129;;5498;37;1.2;12
30130;;7229;28;5.1;63
30131;;4909;23;3.9;37
30132;;6252;26;5.4;43
30133;;7395;34;6;52
30134;;5578;44;0.3;16
30135;;6952;27;4.5;51
30136;;6583;22;4.5;60
30137;;6048;33;4.8;55
30138;;7452;25;7.5;49
30139;;4349;38;0.9;17
30140;;6294;28;6.3;64
30141;;5238;37;0.3;10
30142;;5128;31;3;41
30143;;6682;31;5.1;33
30144;;4937;36;4.2;69
30145;;5198;34;3.6;38
30146;;6364;34;3.9;35
30147;;7722;26;6.3;59
30148;;6717;29;4.8;49
30149;;6053;29;5.1;49
30150;;5131;39;1.2;12
30151;;5090;40;0.6;12
30152;;5842;36;6.3;59
30153;;5803;33;5.7;55
30154;;7243;31;4.8;59
30155;;6545;32;6.3;53
30156;;6440;36;6.9;59
30157;;6240;28;5.7;67
30158;;7613;31;6.9;54
30159;;6396;27;5.4;64
30160;;7662;28;7.5;67
30161;;6407;38;7.5;48
30162;;6864;31;5.7;52
30163;;6287;30;3.3;41
30164;;6014;33;4.2;58
30165;;6726;33;3.3;45
30166;;7979;33;4.8;58
30167;;6173;32;4.8;48
30168;;7298;38;5.4;66
30169;;6970;25;6.9;52
30170;;5615;22;6.3;55
30171;;5515;29;1.2;19
30172;;7757;31;6.3;66
30173;;6461;33;5.4;50
30174;;6806;29;7.5;67
30175;;6274;30;3;48
30176;;6634;32;4.2;46
30177;;6969;29;6.9;54
30178;;4371;36;1.2;17
30179;;4999;31;5.1;52
30180;;6002;26;3.6;42
30181;;6366;26;4.2;55
30182;;6875;26;4.8;63
30183;;6099;29;6.3;66
30184;;6811;25;3.6;33
30185;;5893;29;6;57
30186;;5643;33;4.8;48
30187;;6577;30;5.4;43
30188;;6428;31;3.3;35
30189;;6489;34;5.1;41
30190;;5752;30;1.5;12
30191;;5673;33;3.3;36
30192;;5681;22;7.2;55
30193;;7057;23;3.3;38
30194;;5693;22;5.1;51
30195;;4945;28;3.6;43
30196;;6540;32;6;56
30197;;5048;25;3.6;35
30198;;6071;36;6.3;58
30199;;5917;38;4.2;69
30200;;4665;41;1.5;10
30201;;4977;32;4.8;46
30202;;6112;20;4.5;45
30203;;5552;33;1.2;19
30204;;5231;44;1.5;12
30205;;7251;22;6.6;67
30206;;7792;22;5.7;57
30207;;6380;38;7.5;59
30208;;7096;31;5.4;33
30209;;6059;28;4.2;64
30210;;6005;29;5.7;60
30211;;7241;38;6;53
30212;;6407;33;5.1;66
30213;;5129;27;5.4;38
30214;;6840;36;6.6;49
30215;;6760;29;3.3;49
30216;;7314;28;4.8;69
30217;;5919;34;4.8;43
30218;;6788;31;4.8;54
30219;;6341;30;4.2;57
30220;;5905;34;4.2;47
30221;;7139;25;6.6;48
30222;;5463;23;3.9;39
30223;;6663;26;3;47
30224;;5570;33;4.2;46
30225;;6923;28;5.7;59
30226;;7650;27;6.9;56
30227;;7913;27;4.5;57
30228;;5908;27;3.6;50
30229;;6874;25;7.2;48
30230;;5810;32;0.6;12
30231;;6023;30;7.5;50
30232;;7270;28;4.2;64
30233;;7458;27;5.7;49
30234;;7717;31;6;57
30235;;6913;32;4.5;55
30236;;6785;24;4.2;43
30237;;6774;27;3.3;50
30238;;7777;30;5.7;57
30239;;7107;29;6.9;58
30240;;6265;32;4.8;50
30241;;5837;33;0.9;15
30242;;6347;30;6.9;55
30243;;5019;33;3.9;36
30244;;7768;38;4.8;54
30245;;7716;30;4.2;56
30246;;6944;25;5.1;35
30247;;7760;32;5.4;55
30248;;7071;27;3.6;30
30249;;6368;34;5.7;56
30250;;7244;34;6;61
30251;;5646;29;7.2;67
30252;;6947;33;5.7;54
30253;;6087;20;5.1;36
30254;;5929;31;5.1;38
30255;;6671;26;3;49
30256;;6861;26;4.8;49
30257;;6923;31;5.4;51
30258;;6106;26;3;50
30259;;6503;38;5.7;56
30260;;6408;22;4.5;44
30261;;6210;22;7.2;48
30262;;7014;22;4.2;39
30263;;7146;25;6;52
30264;;5185;24;5.1;51
30265;;6159;36;5.1;55
30266;;5159;29;3.3;37
30267;;5924;36;4.5;60
30268;;5775;30;3.9;41
30269;;7292;29;6.9;60
30270;;4973;24;5.1;45
30271;;6584;32;5.1;35
30272;;6046;33;6.9;52
30273;;7024;23;4.2;50
30274;;7076;34;3;41
30275;;5770;31;4.5;35
30276;;5440;29;5.4;46
30277;;6345;26;4.5;49
30278;;6086;23;5.4;30
30279;;5778;32;6.3;53
30280;;6758;31;6;60
30281;;6576;24;5.1;49
30282;;7936;25;6.9;48
30283;;7745;34;6.3;59
30284;;6822;33;5.1;36
30285;;6271;32;6;61
30286;;5290;33;4.2;51
30287;;7952;22;5.1;53
30288;;7444;27;6.3;63
30289;;5186;33;4.8;51
30290;;7666;28;5.7;56
30291;;6838;32;3.6;48
30292;;6313;30;6.3;50
30293;;5914;27;4.8;48
30294;;4647;35;1.5;16
30295;;5978;33;4.2;40
30296;;4585;32;0.9;19
30297;;6918;22;4.5;33
30298;;7736;31;6.9;59
30299;;5154;22;3.3;47
30300;;6912;29;3;37
30301;;5438;26;3.3;44
30302;;6511;20;4.2;44
30303;;6807;34;3.3;49
30304;;5766;30;1.5;15
30305;;6055;23;4.5;50
30306;;6280;26;5.4;35
30307;;7934;27;7.5;53
30308;;7391;31;5.1;64
30309;;7751;27;6.6;55
30310;;6897;34;5.7;56
30311;;6711;25;3.3;33
30312;;4418;23;1.5;15
30313;;6525;22;6.9;50
30314;;5254;25;5.1;40
30315;;6238;27;3.6;48
30316;;5531;25;3;51
30317;;6479;22;3.9;45
30318;;6406;26;4.5;40
30319;;5129;29;5.4;46
30320;;5721;36;4.2;58
30321;;4476;37;1.2;19
30322;;7456;30;4.2;54
30323;;7221;36;4.8;51
30324;;7274;33;4.5;49
30325;;6380;28;5.4;58
30326;;7610;28;7.5;49
30327;;7183;30;6;67
30328;;7787;29;6.6;48
30329;;6885;31;5.7;66
30330;;4449;29;1.8;14
30331;;6630;23;3.6;51
30332;;5942;36;4.5;67
30333;;5850;37;1.8;14
30334;;7672;27;4.2;51
30335;;5286;22;3.6;47
30336;;5521;42;1.8;15
30337;;7905;34;6.3;64
30338;;5707;22;6.6;61
30339;;7249;36;6;56
30340;;7779;33;5.1;57
30341;;7291;34;4.2;69
30342;;6258;22;4.2;46
30343;;6524;32;4.2;49
30344;;6261;22;4.8;48
30345;;6472;36;6;66
30346;;6826;31;6.9;57
30347;;6328;33;7.5;64
30348;;6193;31;5.1;63
30349;;7674;30;4.8;67
30350;;4938;30;4.5;37
30351;;5532;20;3.9;50
30352;;6138;30;4.2;63
30353;;6634;27;5.1;49
30354;;7474;29;6;59
30355;;5611;24;3.9;51
30356;;6783;24;5.4;36
30357;;6090;31;3;42
30358;;5208;20;3.6;35
30359;;6762;30;6.9;53
30360;;5008;37;1.5;17
30361;;6590;32;4.2;61
30362;;6079;28;4.5;51
30363;;6291;32;6;63
30364;;7285;27;5.1;59
30365;;6872;31;6;48
30366;;6335;23;3.9;40
30367;;7912;27;6.9;57
30368;;4928;31;6.6;50
30369;;4945;33;6.9;64
30370;;6914;30;4.2;54
30371;;6634;28;3.3;47
30372;;6126;27;7.5;63
30373;;7248;36;5.7;57
30374;;5598;22;5.1;45
30375;;6830;22;7.2;66
30376;;7117;33;5.4;49
30377;;7239;22;6.3;67
30378;;4491;38;1.5;17
30379;;4953;27;6.3;60
30380;;5928;32;4.2;35
30381;;7499;38;7.2;59
30382;;6916;20;4.5;37
30383;;6720;27;6.6;55
30384;;5952;22;5.1;30
30385;;5645;22;3.6;47
30386;;6460;30;6;60
30387;;5819;38;5.7;56
30388;;5251;24;4.2;33
30389;;6912;27;4.2;33
30390;;6536;31;5.7;53
30391;;6999;30;5.1;39
30392;;5856;38;6.6;59
30393;;6711;34;5.4;69
30394;;5620;24;4.8;44
30395;;5563;28;3.3;51
30396;;6069;28;6;57
30397;;6921;33;6;61
30398;;4518;23;0.6;14
30399;;7799;22;5.7;67
30400;;6524;27;3;37
30401;;4446;32;1.5;17
30402;;6802;33;4.5;36
30403;;4605;42;1.2;14
30404;;6935;25;4.5;49
30405;;4962;26;6.3;49
30406;;5764;30;3.9;50
30407;;6945;32;4.5;39
30408;;7672;30;5.1;69
30409;;6480;30;4.5;35
30410;;6241;29;6.9;59
30411;;5768;20;3.9;45
30412;;7640;33;4.8;61
30413;;6071;26;5.4;45
30414;;5775;28;6.6;54
30415;;7355;25;5.4;67
30416;;5132;28;4.5;47
30417;;4994;34;4.5;33
30418;;6106;22;7.5;57
30419;;7157;26;6.6;57
30420;;6839;31;3;45
30421;;6363;25;6.3;53
30422;;5880;32;5.4;50
30423;;6714;26;5.1;60
30424;;5065;34;3;49
30425;;6117;34;5.4;45
30426;;6419;38;6.6;57
30427;;5810;39;0.3;16
30428;;6333;29;6.6;57
30429;;5185;32;1.8;13
30430;;6756;36;4.8;45
30431;;6462;31;6.6;54
30432;;7181;30;4.8;56
30433;;6643;27;4.2;46
30434;;7687;30;4.8;69
30435;;7014;31;5.4;46
30436;;6660;31;5.1;35
30437;;5116;20;4.8;41
30438;;4581;37;1.5;17
30439;;6466;31;5.1;45
30440;;6433;22;6.6;53
30441;;6956;22;7.5;64
30442;;6012;31;6.3;55
30443;;6564;20;4.8;51
30444;;4903;29;4.5;39
30445;;7285;30;7.2;55
30446;;4484;41;0.9;10
30447;;4894;34;1.8;13
30448;;6784;33;4.2;54
30449;;4878;32;1.8;17
30450;;6305;30;4.5;35
30451;;5790;22;5.4;47
30452;;5747;25;3.9;33
30453;;5438;38;1.2;12
30454;;5368;29;1.8;11
30455;;4972;29;7.2;69
30456;;4926;31;4.8;59
30457;;6925;27;4.8;49
30458;;5901;24;3.3;47
30459;;6573;34;3.9;44
30460;;7283;26;4.5;66
30461;;5891;34;5.7;56
30462;;4683;29;0.3;19
30463;;6863;27;6.6;51
30464;;6929;33;3;36
30465;;6528;28;4.8;67
30466;;6507;27;7.5;59
30467;;5765;27;6.3;66
30468;;6208;27;4.8;45
30469;;7729;30;5.4;59
30470;;5479;33;0.6;17
30471;;6232;32;5.1;43
30472;;5789;26;3.6;40
30473;;6085;27;5.4;63
30474;;6413;25;3;30
30475;;4925;22;4.2;47
30476;;5785;24;4.5;49
30477;;7617;33;6.6;55
30478;;6322;31;4.2;60
30479;;6543;30;4.5;59
30480;;5233;29;3.9;33
30481;;5917;25;3.9;50
30482;;5296;27;5.4;51
30483;;6378;34;6.6;66
30484;;7241;33;6.6;56
30485;;6476;27;5.4;48
30486;;5749;28;4.5;43
30487;;6339;22;5.1;51
30488;;5996;34;3.9;46
30489;;6402;26;5.7;67
30490;;5012;39;0.9;11
30491;;4957;25;5.4;58
30492;;4709;35;1.2;17
30493;;5954;31;4.8;52
30494;;5753;34;5.7;54
30495;;6179;34;7.2;59
30496;;5127;35;0.3;17
30497;;6216;34;6;55
30498;;5791;36;4.2;59
30499;;6104;30;6;48
30500;;6631;33;3.3;37
30501;;5896;27;4.8;51
30502;;5429;26;3;50
30503;;7942;27;6.3;63
30504;;4962;32;4.5;59
30505;;7126;33;6.9;61
30506;;4954;34;7.5;49
30507;;7799;33;5.7;67
30508;;4672;42;1.5;10
30509;;6138;28;3.9;41
30510;;6571;22;3.9;48
30511;;5792;42;0.3;16
30512;;7012;33;4.2;37
30513;;6031;28;6;56
30514;;5232;38;1.5;14
30515;;5812;29;4.2;46
30516;;6254;30;6.6;66
30517;;5837;25;3.9;45
30518;;7232;38;6;64
30519;;6945;24;3.6;49
30520;;5838;28;3;42
30521;;7332;34;7.2;55
30522;;6480;22;5.4;63
30523;;5480;26;3.3;45
30524;;5256;26;4.8;49
30525;;5798;30;5.1;48
30526;;5942;31;5.7;52
30527;;6555;29;6.9;50
30528;;5087;25;3.9;51
30529;;5952;38;5.7;55
30530;;7932;28;7.2;64
30531;;6091;32;7.5;48
30532;;5620;27;4.2;61
30533;;6127;33;4.5;35
30534;;6049;36;6.9;55
30535;;5177;20;5.1;37
30536;;5662;33;4.2;60
30537;;7994;27;4.8;58
30538;;6591;33;4.2;38
30539;;5718;33;6;56
30540;;6335;32;4.8;43
30541;;6114;32;4.5;56
30542;;6681;33;4.8;37
30543;;5907;36;6.3;60
30544;;5725;36;4.5;57
30545;;6235;34;4.8;55
30546;;7147;27;7.2;49
30547;;6867;32;5.4;61
30548;;5947;30;3.3;41
30549;;6534;25;4.8;42
30550;;6373;30;4.8;30
30551;;5182;33;3.6;48
30552;;5498;26;4.8;33
30553;;6382;30;5.7;48
30554;;6195;27;3;35
30555;;6196;27;4.8;35
30556;;5773;25;5.1;35
30557;;5430;33;3.3;33
30558;;6754;33;7.2;69
30559;;7070;34;5.1;36
30560;;7252;31;5.7;50
30561;;6322;27;6.6;45
30562;;5778;38;6.9;66
30563;;4973;22;6;58
30564;;5081;44;0.9;17
30565;;6872;34;6.3;54
30566;;6565;31;6;49
30567;;5862;34;4.8;48
30568;;5869;26;5.4;42
30569;;6050;27;3.6;46
30570;;6570;20;3.9;45
30571;;5838;35;1.2;14
30572;;7972;38;5.4;69
30573;;7626;26;6.9;69
30574;;6256;29;5.4;36
30575;;4768;29;1.5;11
30576;;7975;31;5.4;58
30577;;7432;38;6.9;56
30578;;4951;33;4.5;54
30579;;5927;22;7.2;51
30580;;7015;24;3.9;38
30581;;6905;38;6.9;64
30582;;6052;24;4.8;42
30583;;7702;29;5.4;57
30584;;7461;33;7.2;63
30585;;6745;30;6.6;51
30586;;6005;34;5.7;53
30587;;7993;31;5.4;52
30588;;6227;34;5.7;64
30589;;7042;29;3.9;40
30590;;6046;26;3.6;30
30591;;5813;29;6.3;56
30592;;6925;36;4.8;57
30593;;5219;28;4.5;39
30594;;6543;32;3.3;46
30595;;6351;24;5.4;42
30596;;7293;26;5.4;63
30597;;4982;26;4.8;53
30598;;6093;38;4.2;50
30599;;6582;20;4.2;49
30600;;7730;26;6.3;54
30601;;5259;44;0.9;13
30602;;5753;33;5.7;57
30603;;6134;30;5.7;61
30604;;6061;36;5.4;67
30605;;4762;33;1.8;17
30606;;7687;26;4.8;63
30607;;6269;26;3.6;44
30608;;5604;38;5.4;57
30609;;5745;28;3.6;46
30610;;6393;31;7.5;50
30611;;6412;30;3.9;33
30612;;5966;31;5.1;67
30613;;7439;26;5.7;69
30614;;7469;34;4.2;53
30615;;4922;23;3;51
30616;;7074;25;3.3;35
30617;;6304;29;4.2;36
30618;;6165;32;5.4;58
30619;;5776;26;5.7;53
30620;;7297;30;6.6;64
30621;;5998;33;4.2;42
30622;;6271;34;5.1;33
30623;;6794;26;5.7;58
30624;;7777;34;4.8;59
30625;;6712;34;3;35
30626;;7616;25;4.5;66
30627;;6334;34;6;67
30628;;7010;31;4.2;44
30629;;6938;31;5.1;44
30630;;7151;32;4.2;49
30631;;6972;34;5.4;57
30632;;5829;23;0.3;10
30633;;6418;32;4.2;67
30634;;7118;26;6;53
30635;;6787;22;4.8;66
30636;;5050;28;3;44
30637;;5467;28;4.8;42
30638;;6051;25;5.1;58
30639;;6445;32;3.3;43
30640;;7794;22;6;49
30641;;5755;27;4.2;58
30642;;6464;26;6.3;45
30643;;6690;20;4.5;41
30644;;6862;26;5.1;53
30645;;7081;33;4.2;33
30646;;4787;38;0.3;13
30647;;6652;26;4.5;44
30648;;6271;34;5.4;44
30649;;6892;29;4.5;66
30650;;6421;31;7.2;49
30651;;6875;22;5.1;54
30652;;7275;36;5.7;63
30653;;4980;39;1.5;15
30654;;5054;34;1.2;10
30655;;7396;31;6;63
30656;;6944;30;3.9;50
30657;;5759;23;4.8;30
30658;;6995;33;4.5;47
30659;;6402;33;5.7;67
30660;;4430;33;0.9;12
30661;;5582;32;0.6;15
30662;;4526;23;0.3;10
30663;;5724;32;6.9;52
30664;;4946;22;4.2;45
30665;;5143;30;3.9;49
30666;;6114;33;3.9;47
30667;;6080;31;5.4;30
30668;;7426;27;4.5;60
30669;;7647;27;4.8;64
30670;;6983;30;4.5;38
30671;;7189;25;7.5;48
30672;;6048;36;4.8;50
30673;;6451;30;7.5;54
30674;;4977;20;5.4;49
30675;;5823;22;6;45
30676;;5019;28;3.3;44
30677;;5087;32;4.2;43
30678;;6138;25;6.6;61
30679;;7044;24;3.9;40
30680;;6239;22;5.7;49
30681;;7163;36;4.8;56
30682;;5095;40;1.2;13
30683;;5073;30;3.9;47
30684;;5789;31;3.6;46
30685;;5677;27;5.1;44
30686;;6122;25;3;45
30687;;5904;34;5.4;46
30688;;5644;32;5.7;53
30689;;6806;25;4.5;48
30690;;7932;29;4.2;63
30691;;6088;30;4.8;55
30692;;4962;23;4.8;49
30693;;6724;36;4.2;51
30694;;7659;26;5.1;63
30695;;5884;34;4.8;53
30696;;6453;38;7.5;53
30697;;6798;27;4.5;49
30698;;6710;32;6.6;57
30699;;7077;29;4.5;38
30700;;6785;22;5.7;59
30701;;7480;31;5.1;64
30702;;6664;29;3.3;41
30703;;5724;22;4.8;38
30704;;5967;32;6.3;55
30705;;7680;33;4.2;45
30706;;5956;29;5.4;35
30707;;4924;35;1.8;16
30708;;5877;28;5.4;52
30709;;5048;41;0.3;11
30710;;5064;32;0.6;10
30711;;5206;31;0.3;16
30712;;5955;36;5.1;51
30713;;6558;34;6;51
30714;;5202;42;1.8;12
30715;;6716;27;6;49
30716;;6523;25;4.8;37
30717;;7651;29;4.2;53
30718;;5411;44;0.6;10
30719;;6015;24;4.2;37
30720;;7632;30;7.5;64
30721;;6203;22;4.2;59
30722;;6062;22;4.5;36
30723;;5262;27;3;51
30724;;5058;22;3.3;39
30725;;7217;22;6.3;66
30726;;6065;28;7.2;45
30727;;5636;22;6.6;54
30728;;5659;32;4.5;45
30729;;7797;30;6.3;51
30730;;6239;33;6.3;64
30731;;5812;38;0.3;17
30732;;5763;29;5.4;61
30733;;7763;22;4.5;53
30734;;6922;27;5.1;66
30735;;4991;30;5.1;43
30736;;6050;25;6.6;58
30737;;5526;29;3.9;44
30738;;7344;22;5.1;61
30739;;4569;32;1.2;11
30740;;6834;30;6;57
30741;;6939;36;5.4;49
30742;;7467;36;6;67
30743;;6428;38;4.2;60
30744;;6828;30;3;36
30745;;7155;33;6.6;55
30746;;7786;31;4.2;51
30747;;6523;29;7.5;61
30748;;6196;33;5.7;45
30749;;6184;32;3;49
30750;;7927;30;7.2;69
30751;;5943;34;7.5;67
30752;;7650;30;6;49
30753;;6304;27;4.8;36
30754;;4890;36;0.9;16
30755;;5512;34;4.5;46
30756;;5473;40;0.3;13
30757;;4592;34;1.8;12
30758;;5920;31;4.8;67
30759;;5518;26;5.1;50
30760;;6891;33;4.8;61
30761;;7763;31;6.6;52
30762;;6073;30;3.6;38
30763;;5625;23;3.9;42
30764;;7276;31;6.9;52
30765;;7104;31;7.5;61
30766;;4613;36;0.9;15
30767;;6460;33;6.3;67
30768;;6762;29;5.1;43
30769;;7608;30;4.2;58
30770;;7666;26;4.2;51
30771;;5621;23;4.5;51
30772;;6034;32;4.5;69
30773;;6712;31;7.5;53
30774;;5668;27;5.1;37
30775;;7788;26;5.1;63
30776;;6588;28;6;55
30777;;5763;26;5.4;36
30778;;6405;27;6.9;63
30779;;6080;28;6;67
30780;;7345;33;5.1;52
30781;;7752;36;5.1;66
30782;;7629;25;7.2;48
30783;;5991;32;5.7;60
30784;;5919;25;6.3;52
30785;;5575;27;4.5;40
30786;;6975;30;3.6;46
30787;;5747;25;4.2;33
30788;;7012;22;4.5;47
30789;;7718;32;6.9;55
30790;;6219;26;3;39
30791;;7183;34;4.2;52
30792;;5183;32;4.8;44
30793;;5797;33;3.9;35
30794;;6339;30;3;45
30795;;5454;26;3.6;41
30796;;5025;24;3;36
30797;;5207;24;3;48
30798;;6905;32;5.4;57
30799;;6432;32;5.1;66
30800;;6069;26;6.3;52
30801;;6517;27;4.8;40
30802;;6837;31;5.4;69
30803;;6743;26;4.8;67
30804;;5273;24;4.5;41
30805;;5692;34;3.9;43
30806;;7434;29;5.7;55
30807;;6752;25;3.9;36
30808;;5097;22;3.6;45
30809;;5787;32;5.4;50
30810;;5477;20;4.8;47
30811;;6989;27;5.1;46
30812;;6870;30;4.2;41
30813;;5282;20;4.8;47
30814;;5287;25;5.4;49
30815;;4951;27;6.6;58
30816;;5758;36;5.4;48
30817;;5033;31;3.3;41
30818;;6844;28;6.6;61
30819;;6789;29;5.7;55
30820;;5712;27;4.8;55
30821;;5604;25;6.6;64
30822;;6053;20;5.4;40
30823;;6604;32;3;40
30824;;6058;25;6.3;55
30825;;6945;26;7.2;54
30826;;6217;33;7.5;66
30827;;5288;28;5.1;39
30828;;6789;22;3.9;41
30829;;6302;26;4.5;46
30830;;7931;30;6;48
30831;;5867;29;3;43
30832;;5614;34;6.6;53
30833;;6460;31;5.7;45
30834;;7917;25;4.8;56
30835;;7293;26;7.5;69
30836;;5996;20;3.9;30
30837;;6715;38;6.9;67
30838;;4919;27;6;56
30839;;5799;22;3.6;41
30840;;6443;29;3.9;33
30841;;4779;44;0.9;16
30842;;5595;33;3.6;51
30843;;5883;29;5.1;52
30844;;5092;20;3.9;43
30845;;6203;30;3;37
30846;;7733;33;5.7;53
30847;;6882;26;3.3;35
30848;;6457;32;5.4;46
30849;;5981;31;3.6;30
30850;;6295;29;5.4;42
30851;;6212;27;4.8;58
30852;;5779;33;3;50
30853;;5218;23;4.5;30
30854;;7734;33;6.3;45
30855;;7908;29;7.5;45
30856;;7248;30;4.8;64
30857;;7798;28;5.4;59
30858;;6184;32;7.2;57
30859;;6215;30;3;44
30860;;6256;30;7.5;57
30861;;6720;31;4.5;56
30862;;6979;38;5.7;45
30863;;6256;30;4.5;69
30864;;5250;26;4.8;37
30865;;5034;40;1.8;10
30866;;6150;25;5.4;42
30867;;7241;22;5.1;48
30868;;6763;28;4.2;46
30869;;7104;25;5.7;66
30870;;6420;28;3.3;36
30871;;6592;38;6.6;61
30872;;5669;33;7.2;53
30873;;6920;36;4.2;58
30874;;5937;32;3.3;42
30875;;5182;24;5.1;30
30876;;5901;22;4.2;58
30877;;6842;26;5.7;52
30878;;7290;34;4.2;51
30879;;6747;38;4.2;60
30880;;6518;27;4.2;35
30881;;6699;28;4.5;45
30882;;6244;25;7.5;56
30883;;5172;24;4.8;41
30884;;4427;41;1.5;16
30885;;6234;31;3;37
30886;;6585;30;6;60
30887;;5897;29;5.7;48
30888;;4954;38;6.6;64
30889;;6449;23;3.9;39
30890;;7747;22;4.8;56
30891;;6763;25;3;38
30892;;5797;23;3.3;48
30893;;6383;25;7.2;59
30894;;5989;31;6.9;60
30895;;7764;28;6;48
30896;;6804;28;3;47
30897;;6290;33;3;40
30898;;6690;22;3;45
30899;;4977;30;4.5;50
30900;;6830;23;3.9;46
30901;;5190;23;4.2;42
30902;;6620;30;3;35
30903;;5614;23;4.8;44
30904;;6348;30;6;48
30905;;6677;33;4.5;48
30906;;7126;27;4.8;61
30907;;6310;33;4.2;35
30908;;5747;20;4.5;30
30909;;6751;36;7.2;64
30910;;6485;33;3.3;46
30911;;5098;28;3;42
30912;;5145;30;0.9;12
30913;;5245;35;1.2;12
30914;;5949;29;4.5;48
30915;;6979;27;5.4;49
30916;;6664;23;5.1;50
30917;;6134;38;7.2;60
30918;;5790;39;0.3;19
30919;;6576;31;5.1;45
30920;;4430;42;1.8;17
30921;;6432;24;4.8;47
30922;;7691;31;7.5;61
30923;;5631;22;3.9;30
30924;;7912;38;6.6;50
30925;;6189;22;4.5;49
30926;;5621;24;5.1;33
30927;;5011;35;1.2;16
30928;;4934;25;3.3;49
30929;;4908;34;3.9;35
30930;;6958;32;6;52
30931;;5773;33;5.1;51
30932;;6805;26;4.2;59
30933;;5672;26;4.5;52
30934;;4969;23;3;39
30935;;6529;32;7.2;66
30936;;7482;34;4.5;63
30937;;7075;32;3.6;44
30938;;6337;22;6.3;57
30939;;6763;34;3;46
30940;;6340;31;3.9;48
30941;;4944;38;6.3;45
30942;;5874;31;3;44
30943;;7060;20;3.6;47
30944;;6551;26;5.4;38
30945;;6478;36;7.5;53
30946;;7339;25;6.9;66
30947;;5215;31;4.5;47
30948;;6006;32;4.8;40
30949;;5318;32;0.6;19
30950;;7646;33;6;55
30951;;6731;31;5.1;45
30952;;5831;33;4.5;33
30953;;7021;26;4.5;41
30954;;5901;33;4.5;57
30955;;4923;32;5.4;50
30956;;7438;31;7.2;51
30957;;7076;25;5.4;38
30958;;5225;30;4.2;39
30959;;6370;31;5.4;49
30960;;5237;20;3.9;36
30961;;6780;28;3.9;37
30962;;5627;32;6.3;50
30963;;6138;32;5.1;56
30964;;7371;27;7.5;53
30965;;5183;24;5.4;46
30966;;6431;27;3.3;41
30967;;6892;38;6.9;50
30968;;5732;32;5.1;59
30969;;7964;36;7.5;53
30970;;6802;33;6;55
30971;;6251;31;5.4;38
